Key TF	Description	# of overlapped genes	P value	Q value	List of overlapped genes
PPARA	peroxisome proliferator-activated receptor alpha	5	0.000126	0.000944	APOC3,LPL,ANGPTL4,APOB,TUBA1B
DNMT3A	DNA (cytosine-5-)-methyltransferase 3 alpha	3	0.000159	0.000966	SFRP1,CDH6,CDKN1A
NR2F1	nuclear receptor subfamily 2, group F, member 1	3	0.000159	0.000966	APOB,MTTP,APOC3
TFCP2	transcription factor CP2	3	0.000159	0.000966	SPP1,A2M,PAX6
USF1	upstream transcription factor 1	6	0.000171	0.000977	AGT,CCNB1,SLC1A3,PTGDS,ID4,S100A6
HNF4A	hepatocyte nuclear factor 4, alpha	5	0.000252	0.00125	AFP,CDKN1A,APOC3,APOB,MTTP
MYCN	v-myc myelocytomatosis viral related oncogene, neuroblastoma derived (avian)	5	0.000252	0.00125	LRRN3,EFNB3,CDKN1A,NES,CLU
TWIST2	twist basic helix-loop-helix transcription factor 2	4	0.000257	0.00125	FOS,FN1,GDF15,NR2F1
MITF	microphthalmia-associated transcription factor	4	0.000301	0.00137	PMEL,TRPM1,FOS,TYRP1
E2F1	E2F transcription factor 1	8	0.000311	0.00137	CCNB1,HSPA5,CDKN1A,RASGRP1,MT1G,NELL2,TOP2A,FHIT
CEBPA	CCAAT/enhancer binding protein (C/EBP), alpha	5	0.000456	0.00192	SPP1,S100A9,AFP,FN1,CCL2
SMAD3	SMAD family member 3	4	0.000603	0.00244	TNC,ANGPTL4,CDKN1A,APOC3
ETS2	v-ets erythroblastosis virus E26 oncogene homolog 2 (avian)	4	0.000682	0.00265	MMP1,CDKN1A,ANGPT2,TNC
FOS	FBJ murine osteosarcoma viral oncogene homolog	5	0.000765	0.00285	CLU,EZR,FOS,ACTA1,MMP1
TBP	TATA box binding protein	3	0.000816	0.00293	CCNB1,FOS,CDKN1A
JUND	jun D proto-oncogene	4	0.000863	0.00299	SOX4,CDKN1A,TIMP1,CLU
CEBPB	CCAAT/enhancer binding protein (C/EBP), beta	5	0.000967	0.00323	GDF15,MMP1,TFF3,CDKN1A,S100A9
FOXM1	forkhead box M1	3	0.0012	0.00387	CCNB1,APOE,KRT15
ETV6	ets variant 6	2	0.00156	0.00439	CDKN1A,IGFBP5
NR2F6	nuclear receptor subfamily 2, group F, member 6	2	0.00156	0.00439	APOB,APOC3
NR4A2	nuclear receptor subfamily 4, group A, member 2	2	0.00156	0.00439	MMP1,CRH
TFAP2B	transcription factor AP-2 beta (activating enhancer binding protein 2 beta)	2	0.00156	0.00439	PTGDS,CRYAB
KLF4	Kruppel-like factor 4 (gut)	4	0.0016	0.00439	KRT19,CCNB1,CDKN1A,GDF15
ESR2	estrogen receptor 2 (ER beta)	3	0.00167	0.00439	FOS,CRH,CDKN1A
GLI1	GLI family zinc finger 1	3	0.00167	0.00439	CYR61,SFRP1,S100A9
PAX5	paired box 5	3	0.00225	0.00575	MMP1,TIMP1,CDKN1A
SP3	Sp3 transcription factor	6	0.00317	0.00761	FBLN1,LPL,CDKN1A,TIMP1,SLC1A3,ID4
ING1	inhibitor of growth family, member 1	2	0.00322	0.00761	AFP,CDKN1A
KLF10	Kruppel-like factor 10	2	0.00322	0.00761	STMN1,CDKN1A
POU5F1	POU class 5 homeobox 1	3	0.00334	0.0077	SPP1,CDKN1A,SOX2
TCF4	transcription factor 4	3	0.00376	0.00847	VCAN,NRXN1,CNTNAP2
IRF1	interferon regulatory factor 1	4	0.00393	0.00867	DST,CDKN1A,SLPI,CCNB1
RARA	retinoic acid receptor, alpha	3	0.00421	0.00878	CRH,SCD,CDKN1A
SMAD4	SMAD family member 4	3	0.00421	0.00878	CDKN1A,TNC,APOC3
FOXF2	forkhead box F2	2	0.00425	0.00878	MT1F,MT1E
ERG	v-ets erythroblastosis virus E26 oncogene homolog (avian)	3	0.00469	0.00928	SPP1,TFF3,SOX4
NFIC	nuclear factor I/C (CCAAT-binding transcription factor)	3	0.00469	0.00928	CCL2,FABP7,GFAP
FOSL1	FOS-like antigen 1	2	0.00542	0.0103	CLU,MMP1
SMARCA4	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4	2	0.00542	0.0103	FOS,CDKN1A
RUNX3	runt-related transcription factor 3	3	0.00633	0.0116	TIMP1,CDKN1A,PEA15
YBX1	Y box binding protein 1	3	0.00633	0.0116	TOP2A,CCNB1,AGT
DNMT1	DNA (cytosine-5-)-methyltransferase 1	3	0.00694	0.0125	IL32,TIMP3,SFRP1
ATF2	activating transcription factor 2	3	0.00759	0.0131	CDKN1A,FN1,APOC3
CDX2	caudal type homeobox 2	3	0.00759	0.0131	TFF3,CDKN1A,CDH17
SOX10	SRY (sex determining region Y)-box 10	2	0.00815	0.0139	NES,EDNRB
ATF4	activating transcription factor 4 (tax-responsive enhancer element B67)	3	0.00974	0.0163	HSPA5,CCL2,APOE
E2F3	E2F transcription factor 3	2	0.0114	0.0187	CCNB1,CDKN1A
TFAP2A	transcription factor AP-2 alpha (activating enhancer binding protein 2 alpha)	4	0.0126	0.0203	CDKN1A,CCNB1,CRYAB,IGFBP5
NF1	neurofibromin 1	2	0.0132	0.0209	AFP,FOS
FOSL2	FOS-like antigen 2	2	0.015	0.0228	CLU,TIMP1
ING4	inhibitor of growth family, member 4	2	0.015	0.0228	CDKN1A,SPP1
JUNB	jun B proto-oncogene	2	0.015	0.0228	CDKN1A,CLU
ESR1	estrogen receptor 1	4	0.0158	0.0236	KRT19,CDKN1A,CRH,FOS
ETS1	v-ets erythroblastosis virus E26 oncogene homolog 1 (avian)	4	0.018	0.0264	CDKN1A,MMP1,ANGPT2,TNC
FOXA2	forkhead box A2	2	0.0214	0.031	PAX6,AGR2
STAT1	signal transducer and activator of transcription 1, 91kDa	4	0.022	0.0314	CDKN1A,CCL2,TIMP1,EDN1
NFKBIA	nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, alpha	2	0.0237	0.0329	S100A6,MMP1
XBP1	X-box binding protein 1	2	0.0237	0.0329	CCL2,HSPA5
EGR1	early growth response 1	4	0.0256	0.0347	GDF15,FN1,STMN1,CDKN1A
ELK1	ELK1, member of ETS oncogene family	2	0.0261	0.0347	PTPRZ1,FOS
KLF6	Kruppel-like factor 6	2	0.0261	0.0347	CDKN1A,PTTG1
FOXA1	forkhead box A1	2	0.0286	0.0375	AGR2,APOB
AR	androgen receptor	4	0.0305	0.0389	FN1,CRH,CDKN1A,ACTA1
AHR	aryl hydrocarbon receptor	2	0.0312	0.0389	FOS,MT2A
REL	v-rel reticuloendotheliosis viral oncogene homolog (avian)	2	0.0312	0.0389	CCL2,CDKN1A
SOX2	SRY (sex determining region Y)-box 2	2	0.0312	0.0389	PAX6,MKI67
SOX9	SRY (sex determining region Y)-box 9	2	0.0339	0.0417	CDKN1A,NES
ATF1	activating transcription factor 1	2	0.0367	0.044	FTH1,TOP2A
FOXO1	forkhead box O1	2	0.0367	0.044	ANGPT2,EDN1
MYC	v-myc myelocytomatosis viral oncogene homolog (avian)	4	0.0383	0.0453	CCNB1,SFRP1,UBE2C,CDKN1A
PARP1	poly (ADP-ribose) polymerase 1	2	0.0396	0.0457	CDKN1A,FN1
SRF	serum response factor (c-fos serum response element-binding transcription factor)	2	0.0396	0.0457	FOS,ACTA1
HNF1A	HNF1 homeobox A	2	0.0425	0.048	CDH17,MTTP
NR1I2	nuclear receptor subfamily 1, group I, member 2	2	0.0425	0.048	CCL2,KLF6
HDAC2	histone deacetylase 2	2	0.0456	0.0508	CCL2,CDKN1A
HSF1	heat shock transcription factor 1	2	0.0584	0.0637	CDKN1A,HOPX
RB1	retinoblastoma 1	2	0.0584	0.0637	CDKN1A,FOS
NR3C1	nuclear receptor subfamily 3, group C, member 1 (glucocorticoid receptor)	2	0.0834	0.0889	SPP1,CDKN1A
POU2F1	POU class 2 homeobox 1	2	0.0834	0.0889	LGALS4,SPP1
HIF1A	hypoxia inducible factor 1, alpha subunit (basic helix-loop-helix transcription factor)	3	0.0884	0.0932	EDNRB,EDN1,ACE2
EZH2	enhancer of zeste homolog 2 (Drosophila)	2	0.0911	0.095	CDKN1A,SFRP1
VDR	vitamin D (1,25- dihydroxyvitamin D3) receptor	2	0.0989	0.102	CDKN1A,CALB1
CREB1	cAMP responsive element binding protein 1	3	0.106	0.108	FOS,STMN1,NR2F1
SIRT1	sirtuin 1	2	0.124	0.125	PAX6,CDKN1A
EP300	E1A binding protein p300	2	0.158	0.158	GFAP,CDKN1A
